split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hct116,transformer,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.007917,0.001582,-0.000708,1
all,hct116,transformer,rrbs,sequence_dnase,dnase,-0.008039,0.000257,0.000725,1
all,hct116,transformer,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.014528,-0.000837,0.001301,1
all,hct116,transformer,rrbs,sequence_h3k4me3,h3k4me3,0.004145,-0.000824,-0.00037,1
all,hct116,xgboost,ctcf,sequence,,-0.010828,0.00072,0.000978,1
all,hct116,xgboost,ctcf,sequence_dnase,dnase,-0.009435,0.000592,0.000853,1
all,hct116,xgboost,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.003834,-0.000291,-0.000346,1
all,hct116,xgboost,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.001721,0.000178,0.000155,1
all,hct116,xgboost,ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.019794,0.001638,0.001785,1
all,hct116,xgboost,ctcf,sequence_h3k4me3,h3k4me3,-0.00562,0.000465,0.000508,1
all,hct116,xgboost,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.002439,-0.00024,-0.00022,1
all,hct116,xgboost,ctcf,sequence_rrbs,rrbs,-0.007074,0.000569,0.000636,1
all,hct116,xgboost,dnase,sequence,,0.00032,-1.3e-05,-2.9e-05,1
all,hct116,xgboost,dnase,sequence_ctcf,ctcf,0.001714,-0.000141,-0.000154,1
all,hct116,xgboost,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.002033,-9.5e-05,-0.000183,1
all,hct116,xgboost,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.004305,0.000445,0.000388,1
all,hct116,xgboost,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.001611,0.000119,0.000145,1
all,hct116,xgboost,dnase,sequence_h3k4me3,h3k4me3,-0.007422,0.00066,0.00067,1
all,hct116,xgboost,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.000145,2.7e-05,1.3e-05,1
all,hct116,xgboost,dnase,sequence_rrbs,rrbs,0.011109,-0.00095,-0.001004,1
all,hct116,xgboost,h3k4me3,sequence,,-0.002222,-1.7e-05,0.000201,1
all,hct116,xgboost,h3k4me3,sequence_ctcf,ctcf,0.002985,-0.000272,-0.000269,1
all,hct116,xgboost,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.003304,-0.000225,-0.000298,1
all,hct116,xgboost,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.007724,-0.000632,-0.000694,1
all,hct116,xgboost,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.010418,-0.000959,-0.000938,1
all,hct116,xgboost,h3k4me3,sequence_dnase,dnase,-0.009964,0.000657,0.000901,1
all,hct116,xgboost,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.010349,0.000828,0.000936,1
all,hct116,xgboost,h3k4me3,sequence_rrbs,rrbs,0.000905,-0.000149,-8.2e-05,1
all,hct116,xgboost,rrbs,sequence,,-0.009954,0.000742,0.0009,1
all,hct116,xgboost,rrbs,sequence_ctcf,ctcf,-0.006201,0.000591,0.000558,1
all,hct116,xgboost,rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.009525,0.000851,0.000857,1
all,hct116,xgboost,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.005105,0.000444,0.00046,1
all,hct116,xgboost,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.001232,-9.6e-05,-0.000111,1
all,hct116,xgboost,rrbs,sequence_dnase,dnase,0.000834,-0.000195,-7.6e-05,1
all,hct116,xgboost,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.00045,-2.4e-05,-4.1e-05,1
all,hct116,xgboost,rrbs,sequence_h3k4me3,h3k4me3,-0.006827,0.000609,0.000617,1
all,hek293t,cnn(3|3),ctcf,sequence,,-0.001349,-0.001456,7.3e-05,1
all,hek293t,cnn(3|3),ctcf,sequence_dnase,dnase,0.006486,-0.000417,-0.000345,1
all,hek293t,cnn(3|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.007771,-0.001979,0.00042,1
all,hek293t,cnn(3|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.105878,-0.004142,-0.005627,1
all,hek293t,cnn(3|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",0.03327,-0.001967,-0.001745,1
all,hek293t,cnn(3|3),ctcf,sequence_h3k4me3,h3k4me3,-0.023809,0.00051,0.001257,1
all,hek293t,cnn(3|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.017508,-0.000966,-0.000937,1
all,hek293t,cnn(3|3),ctcf,sequence_rrbs,rrbs,0.035967,-0.002887,-0.001899,1
all,hek293t,cnn(3|3),dnase,sequence,,-0.031266,-0.000699,0.001673,1
all,hek293t,cnn(3|3),dnase,sequence_ctcf,ctcf,-0.023431,0.00034,0.001255,1
all,hek293t,cnn(3|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.067747,-0.003767,-0.003609,1
all,hek293t,cnn(3|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.025087,-0.000196,-0.001355,1
all,hek293t,cnn(3|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.018301,0.002595,0.00097,1
all,hek293t,cnn(3|3),dnase,sequence_h3k4me3,h3k4me3,0.051709,-0.001279,-0.002772,1
all,hek293t,cnn(3|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.063283,0.00298,0.003335,1
