split_type,cell_line,model,combination,environment_count,CTCF,DNase,H3K4me3,RRBS,r2,rmse,mae,pearson,spearman,sample_count,eligible_count,n_invalid,status,warning
all,hct116,mlp,sequence_ctcf_rrbs,2,True,False,False,True,0.0847494497504959,0.164284862442367,0.1327872274442724,0.2960873669601678,0.2953514815309311,1,1,0,ok,
all,hct116,mlp,sequence_dnase_h3k4me3,2,False,True,True,False,0.0818545660704419,0.1645444690049067,0.1342469956246539,0.2938385973521523,0.2946219777415556,1,1,0,ok,
all,hct116,mlp,sequence_dnase_rrbs,2,False,True,False,True,0.0880762185062257,0.1639860178838101,0.1332439327979959,0.3031940544850695,0.3022934557583651,1,1,0,ok,
all,hct116,mlp,sequence_h3k4me3_rrbs,2,False,False,True,True,0.0803337892349449,0.1646806848338725,0.1293818801605968,0.3050182490962774,0.311343360304066,1,1,0,ok,
all,hct116,mlp,sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,0.0763097219796454,0.165040577813126,0.1338343230071616,0.2844158944233233,0.2887926754399292,1,1,0,ok,
all,hct116,mlp,sequence_ctcf_dnase_rrbs,3,True,True,False,True,0.076900269566672,0.1649878112633533,0.1304597927239059,0.2839057690725501,0.2812188776437868,1,1,0,ok,
all,hct116,mlp,sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.0771321444196667,0.1649670881898045,0.1301486569949207,0.2933183557547803,0.2957152870475493,1,1,0,ok,
all,hct116,mlp,sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,0.0712693073860917,0.1654902638153579,0.1356457785478142,0.2866853753118678,0.2900807691731548,1,1,0,ok,
all,hct116,mlp,all,4,True,True,True,True,0.0744470329490998,0.1652069022044859,0.1351101289494804,0.2894772653574909,0.2928960982724013,1,1,0,ok,
all,hct116,transformer,sequence,0,False,False,False,False,0.0979979931435277,0.1630914902194679,0.1288323444271115,0.3265775653785916,0.3251618407653328,1,1,0,ok,
all,hct116,transformer,sequence_ctcf,1,True,False,False,False,0.0919445487102635,0.1636378384464971,0.131247251021867,0.3035465984429544,0.305135440072996,1,1,0,ok,
all,hct116,transformer,sequence_dnase,1,False,True,False,False,0.0969435721432999,0.1631867876045243,0.1307839669935425,0.3133468417629487,0.3155488668136368,1,1,0,ok,
all,hct116,transformer,sequence_h3k4me3,1,False,False,True,False,0.0737127056051445,0.1652724262191825,0.1339718134694229,0.3061963755561117,0.3087647523648272,1,1,0,ok,
all,hct116,transformer,sequence_rrbs,1,False,False,False,True,0.0931943049499153,0.1635251923389962,0.1312981934430656,0.3262007026479503,0.3260206823384595,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_dnase,2,True,True,False,False,0.0824609173423651,0.1644901267284238,0.1327164199947264,0.2907052180287539,0.2969426060888545,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_h3k4me3,2,True,False,True,False,0.0733090863095846,0.1653084301002194,0.1307804514338363,0.2935710545624956,0.2992828198606656,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_rrbs,2,True,False,False,True,0.0826742061606226,0.1644710071374853,0.1315151161445112,0.2881875547106235,0.292677244076692,1,1,0,ok,
all,hct116,transformer,sequence_dnase_h3k4me3,2,False,True,True,False,0.0884623750681258,0.163951294048727,0.1329491499931465,0.3090435786176224,0.3144512695034187,1,1,0,ok,
all,hct116,transformer,sequence_dnase_rrbs,2,False,True,False,True,0.088904569784839,0.1639115221355469,0.1310411483386513,0.2995587327285366,0.3008018892276469,1,1,0,ok,
all,hct116,transformer,sequence_h3k4me3_rrbs,2,False,False,True,True,0.0778576236351911,0.1649022339840708,0.1331474332173265,0.3108623881658033,0.3160015883602139,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,0.0675152122068568,0.1658243970872539,0.1323721456862019,0.2720701914384927,0.2858478200269913,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_dnase_rrbs,3,True,True,False,True,0.0809466103596026,0.1646258080650343,0.1322302472432167,0.2870785467365148,0.2920094395428211,1,1,0,ok,
all,hct116,transformer,sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.0812256311379198,0.1646008163134729,0.132362648517766,0.2961769209895489,0.306354164752719,1,1,0,ok,
all,hct116,transformer,sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,0.0739345851275097,0.1652526306528078,0.1321120948041989,0.2781279831295254,0.2960875445331661,1,1,0,ok,
all,hct116,transformer,all,4,True,True,True,True,0.0728029557182738,0.1653535671740656,0.1316968524060566,0.2822768103139897,0.2828404922024402,1,1,0,ok,
all,hct116,xgboost,sequence,0,False,False,False,False,0.1022686684281923,0.1627049405308011,0.1313451134313128,0.3347191004796321,0.3316397229123859,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf,1,True,False,False,False,0.0914409686459245,0.1636832064531908,0.1320651428798702,0.3139050672569917,0.3179908364709971,1,1,0,ok,
all,hct116,xgboost,sequence_dnase,1,False,True,False,False,0.1025891155781539,0.162675898997885,0.131331980052627,0.3351868376226632,0.3325798918532051,1,1,0,ok,
all,hct116,xgboost,sequence_h3k4me3,1,False,False,True,False,0.1000462096686366,0.1629062153907255,0.1313285265336365,0.3316106676001871,0.3320618004742399,1,1,0,ok,
all,hct116,xgboost,sequence_rrbs,1,False,False,False,True,0.0923145441162832,0.1636044971912499,0.1320871778797102,0.3282842340667745,0.3273912383837459,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_dnase,2,True,True,False,False,0.0931545012472472,0.1635287812206858,0.1319236558903211,0.3137069046689975,0.3172514108853241,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_h3k4me3,2,True,False,True,False,0.0944257233814463,0.1634141231504584,0.1317934242937406,0.3148169266467331,0.317672223504397,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_rrbs,2,True,False,False,True,0.0852403696926645,0.1642407971681865,0.1326560472845547,0.3038633758517647,0.3089866222616466,1,1,0,ok,
all,hct116,xgboost,sequence_dnase_h3k4me3,2,False,True,True,False,0.0926246479211431,0.1635765476902769,0.1319889555451773,0.3298216465321249,0.3287454646007213,1,1,0,ok,
all,hct116,xgboost,sequence_dnase_rrbs,2,False,True,False,True,0.1034233992499622,0.162600265079189,0.1311367146563259,0.3314868919631156,0.3303349230265464,1,1,0,ok,
all,hct116,xgboost,sequence_h3k4me3_rrbs,2,False,False,True,True,0.0932195851893288,0.1635229129174799,0.1319379512537529,0.3284225686755918,0.3277659853045805,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,0.0964582501093831,0.1632306317671845,0.1316983351682649,0.3178916083896137,0.3212382310265287,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_dnase_rrbs,3,True,True,False,True,0.0836298286109838,0.1643853161307003,0.1327750068856224,0.3028308900122513,0.3082643508720699,1,1,0,ok,
all,hct116,xgboost,sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.0956582190784404,0.1633028811547466,0.1316975429284676,0.3176731600618174,0.3229439166581244,1,1,0,ok,
all,hct116,xgboost,sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,0.0930745782337196,0.1635359872028824,0.131965102456031,0.3279702566550976,0.3276452589783253,1,1,0,ok,
all,hct116,xgboost,all,4,True,True,True,True,0.0913533655602405,0.1636910974145027,0.1321428032149113,0.3157547999664613,0.3215589546488184,1,1,0,ok,
all,hek293t,cnn(3|3),sequence,0,False,False,False,False,-0.2381842405840446,0.1333034601383103,0.1090585804447384,-0.1548222258894426,-0.1086965778897526,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf,1,True,False,False,False,-0.2395336460300405,0.1333760791502002,0.107602598376339,-0.1483543664650475,-0.0813084836129936,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_dnase,1,False,True,False,False,-0.2694505381413754,0.1349760387661507,0.1083598364842357,-0.169840082602844,-0.1089351271520595,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_h3k4me3,1,False,False,True,False,-0.274911934512086,0.1352660723208348,0.1097922912861495,-0.1336935086219489,-0.0901701945973859,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_rrbs,1,False,False,False,True,-0.3047133491188922,0.1368378807061878,0.1112284613378023,-0.1379187689671275,-0.0960353109306419,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf_dnase,2,True,True,False,False,-0.262964602856248,0.1346307843001394,0.1079425260734389,-0.1092806958319324,-0.0640117969712222,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf_h3k4me3,2,True,False,True,False,-0.2987209112122722,0.1365232766548764,0.1103023413698074,-0.1292192481132304,-0.0975384383285436,1,1,0,ok,
